,Data,cotacao_minerio,INCC,desocupacao_trim,cotacao_VALE3,PIB_trimestral
0,2012-03-01,139.3,496.079,5.0,23.9,1.71
1,2012-03-02,139.5,496.079,5.0,24.11,1.71
2,2012-03-05,137.9,496.079,5.0,23.41,1.71
3,2012-03-06,138.2,496.079,5.0,22.27,1.71
4,2012-03-07,138.8,496.079,5.0,22.24,1.71
5,2012-03-08,139.8,496.079,5.0,22.32,1.71
6,2012-03-09,140.0,496.079,5.0,22.3,1.71
7,2012-03-12,142.5,496.079,5.0,22.04,1.71
8,2012-03-13,143.5,496.079,5.0,23.16,1.71
9,2012-03-14,143.1,496.079,5.0,22.95,1.71
10,2012-03-15,143.6,496.079,5.0,23.16,1.71
11,2012-03-16,143.6,496.079,5.0,23.31,1.71
12,2012-03-19,143.7,496.079,5.0,23.47,1.71
13,2012-03-20,143.7,496.079,5.0,23.12,1.71
14,2012-03-21,143.7,496.079,5.0,23.03,1.71
15,2012-03-22,143.8,496.079,5.0,22.55,1.71
16,2012-03-23,143.9,496.079,5.0,22.54,1.71
17,2012-03-26,144.1,496.079,5.0,22.84,1.71
18,2012-03-27,144.3,496.079,5.0,23.01,1.71
19,2012-03-28,144.5,496.079,5.0,22.57,1.71
20,2012-03-29,144.6,496.079,5.0,22.87,1.71
21,2012-04-02,145.9,496.079,5.0,23.87,1.71
22,2012-04-03,147.1,496.079,5.0,23.34,1.71
23,2012-04-04,147.3,496.079,5.0,22.88,1.71
24,2012-04-05,147.1,496.079,5.0,22.82,1.71
25,2012-04-09,147.1,496.079,5.0,22.58,1.71
26,2012-04-10,149.4,496.079,5.0,22.37,1.71
27,2012-04-11,149.1,496.079,5.0,22.37,1.71
28,2012-04-12,148.9,496.079,5.0,23.79,1.71
29,2012-04-13,148.6,496.079,5.0,23.76,1.71
30,2012-04-16,148.1,496.079,5.0,23.45,1.71
31,2012-04-17,148.4,496.079,5.0,23.95,1.71
32,2012-04-18,148.2,496.079,5.0,24.19,1.71
33,2012-04-19,148.0,496.079,5.0,24.01,1.71
34,2012-04-20,148.3,496.079,5.0,23.96,1.71
35,2012-04-23,148.2,496.079,5.0,23.8,1.71
36,2012-04-24,148.2,496.079,5.0,23.86,1.71
37,2012-04-25,148.1,496.079,5.0,23.51,1.71
38,2012-04-26,147.9,496.079,5.0,23.86,1.71
39,2012-04-27,147.8,496.079,5.0,23.7,1.71
40,2012-04-30,147.6,496.079,5.0,23.69,1.71
41,2012-05-01,143.2,509.184,4.8,23.69,1.71
42,2012-05-02,142.5,509.184,4.8,24.03,1.71
43,2012-05-03,142.5,509.184,4.8,23.78,1.71
44,2012-05-04,142.7,509.184,4.8,23.1,1.71
45,2012-05-07,142.7,509.184,4.8,23.08,1.71
46,2012-05-08,141.4,509.184,4.8,22.47,1.71
47,2012-05-09,141.4,509.184,4.8,22.41,1.71
48,2012-05-10,140.8,509.184,4.8,22.42,1.71
49,2012-05-11,140.2,509.184,4.8,21.75,1.71
50,2012-05-14,139.1,509.184,4.8,21.38,1.71
51,2012-05-15,138.9,509.184,4.8,21.22,1.71
52,2012-05-16,138.6,509.184,4.8,20.63,1.71
53,2012-05-17,138.4,509.184,4.8,19.93,1.71
